,treatment,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,coworkers,supervisor,mental_vs_physical,obs_consequence
138,No,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,Some of them,No,Don't know,No
140,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
142,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,Some of them,No,Don't know,No
143,No,Yes,No,Don't know,Yes,Don't know,Don't know,No,Some of them,Yes,Don't know,No
144,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
145,Yes,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,Maybe,Some of them,Yes,Don't know,No
147,No,No,No,No,No,No,Somewhat easy,Yes,No,No,No,No
149,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Don't know,No
151,No,Don't know,Not sure,No,No,Don't know,Very easy,No,Some of them,Some of them,No,No
153,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,Don't know,No
155,Yes,Don't know,No,No,Don't know,Don't know,Somewhat difficult,Maybe,Some of them,Some of them,No,No
156,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,Don't know,No
157,No,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Some of them,Yes,No,No
158,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Maybe,Some of them,Yes,Don't know,Yes
159,Yes,Don't know,Not sure,No,No,Don't know,Very easy,Maybe,Some of them,No,Don't know,Yes
161,Yes,Yes,No,No,No,Don't know,Don't know,Yes,Some of them,Some of them,Don't know,No
162,No,Yes,No,No,Yes,Don't know,Don't know,No,Some of them,Some of them,Don't know,No
163,No,Don't know,No,No,No,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
164,Yes,No,Yes,Yes,Yes,Yes,Very difficult,No,Some of them,Yes,Yes,No
166,No,No,No,No,No,Don't know,Very easy,Maybe,Some of them,Some of them,Don't know,No
167,No,No,Yes,No,No,Don't know,Very difficult,Maybe,Yes,Yes,No,No
173,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,Yes,No
175,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Don't know,No
177,Yes,Yes,Not sure,Don't know,Don't know,Yes,Very easy,No,Yes,Yes,Yes,Yes
178,Yes,Yes,No,No,No,Yes,Somewhat difficult,No,Yes,Yes,Yes,No
179,No,Don't know,No,No,No,Don't know,Very easy,No,Yes,Yes,Don't know,No
183,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,Don't know,No
184,Yes,Yes,Not sure,No,Don't know,Don't know,Very difficult,Yes,No,No,No,No
185,No,Yes,No,No,No,Don't know,Don't know,Yes,Some of them,No,No,No
189,Yes,Yes,Not sure,Don't know,No,Yes,Somewhat easy,Maybe,No,No,Don't know,No
191,Yes,Yes,No,No,No,Don't know,Somewhat easy,Maybe,Some of them,No,No,No
193,Yes,No,No,No,No,Yes,Don't know,No,Some of them,Yes,Don't know,No
196,No,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
197,No,Yes,No,No,No,Yes,Somewhat easy,No,Some of them,Yes,No,No
198,No,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,Some of them,Yes,No
200,Yes,Yes,No,No,No,Don't know,Very easy,No,Some of them,Some of them,Yes,No
201,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Yes,Yes,No
202,Yes,No,Not sure,No,No,Don't know,Very difficult,Maybe,Some of them,Some of them,Don't know,No
207,Yes,No,Yes,No,No,Yes,Somewhat easy,Maybe,Yes,Yes,Don't know,No
208,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
210,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
213,Yes,Don't know,No,No,No,No,Don't know,Yes,Some of them,Some of them,No,Yes
214,Yes,Yes,Yes,Don't know,Don't know,Yes,Very easy,No,Yes,Yes,Yes,No
215,Yes,No,No,Don't know,Don't know,Don't know,Very difficult,No,Some of them,No,Don't know,No
218,Yes,Yes,No,No,Don't know,Don't know,Somewhat difficult,Maybe,Some of them,No,Don't know,No
219,No,Yes,Not sure,No,No,Don't know,Very easy,Yes,No,Some of them,Don't know,No
220,No,Yes,No,No,No,Don't know,Somewhat easy,No,Yes,Yes,Yes,No
222,No,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Some of them,Don't know,No
223,Yes,No,Yes,No,No,Yes,Very difficult,Yes,No,Some of them,No,No
224,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,No
225,No,Don't know,No,Don't know,No,Yes,Very easy,No,Yes,Yes,Yes,No
226,No,No,Yes,No,No,Don't know,Very difficult,No,Some of them,Yes,Yes,No
228,No,Yes,Not sure,No,Don't know,Don't know,Very easy,Maybe,Some of them,No,Yes,No
230,Yes,Yes,No,No,Yes,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,Yes
231,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No
233,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,No,No
238,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Some of them,Yes,No
241,Yes,No,No,No,No,Don't know,Somewhat difficult,Maybe,Some of them,Some of them,No,Yes
242,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,Don't know,No
244,No,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
245,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,No,No,No,Yes
246,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
248,Yes,No,No,No,No,Don't know,Don't know,Maybe,Yes,Yes,Don't know,No
249,Yes,Yes,Yes,Yes,Don't know,Yes,Don't know,Maybe,Some of them,No,Don't know,No
250,Yes,Don't know,No,No,Don't know,Yes,Somewhat easy,Maybe,Some of them,Some of them,Yes,No
251,No,Yes,No,No,Don't know,Yes,Somewhat easy,No,Some of them,Yes,Yes,Yes
252,Yes,Yes,Yes,Yes,Don't know,Yes,Very easy,No,Some of them,Yes,Yes,No
254,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Don't know,No
257,No,No,Yes,No,Yes,Don't know,Somewhat easy,No,Some of them,Yes,Yes,No
260,Yes,Yes,No,No,No,Yes,Don't know,Maybe,Yes,No,Don't know,No
262,Yes,Yes,Yes,No,Yes,Yes,Don't know,No,Yes,Yes,Yes,No
265,No,No,Yes,No,Don't know,Don't know,Very easy,No,Some of them,Yes,Don't know,No
266,Yes,Yes,Yes,Don't know,No,Don't know,Very easy,No,Yes,Yes,Yes,No
268,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,Some of them,Some of them,Don't know,No
269,No,No,No,No,No,Don't know,Very easy,No,Yes,Yes,Don't know,No
271,Yes,Yes,No,Don't know,Don't know,Yes,Don't know,No,Some of them,Yes,Yes,No
272,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Yes,No
274,Yes,Yes,No,No,No,Don't know,Don't know,Yes,No,No,No,No
276,No,Yes,No,No,No,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
278,Yes,Yes,Yes,Yes,Don't know,Don't know,Very easy,Maybe,Some of them,Some of them,Yes,No
279,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No
282,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No,No,Don't know,No
283,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No,Some of them,Don't know,No
286,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
287,No,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,Some of them,Some of them,Yes,No
288,Yes,No,Yes,No,No,Don't know,Don't know,No,Some of them,No,Don't know,Yes
289,Yes,Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,Maybe,Some of them,No,Don't know,No
291,No,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,Don't know,No
292,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Maybe,Some of them,Some of them,Don't know,No
293,No,Yes,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
294,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,Yes,Some of them,Don't know,No
295,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No
296,Yes,Yes,Yes,Yes,Don't know,Don't know,Very easy,No,Yes,Yes,Yes,No
297,No,Yes,No,Don't know,Yes,Don't know,Don't know,No,Some of them,Yes,Yes,No
298,Yes,Yes,No,Yes,Yes,Don't know,Don't know,Yes,No,No,Don't know,No
299,No,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,Don't know,No
300,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Some of them,Yes,No
301,Yes,Yes,Not sure,Don't know,Don't know,Yes,Somewhat easy,No,Yes,Yes,Yes,No
302,No,Yes,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
303,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Some of them,Yes,Yes,No
304,Yes,Yes,Yes,Don't know,Yes,Don't know,Somewhat easy,No,Some of them,Yes,Yes,No
306,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,Maybe,Some of them,Yes,Don't know,No
307,No,No,No,No,No,Don't know,Don't know,No,Some of them,Some of them,Don't know,Yes
308,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
309,No,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
311,Yes,Yes,Not sure,Don't know,Yes,Don't know,Don't know,No,Some of them,Yes,Don't know,No
312,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,Yes,Yes,No
313,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,No,No,No,No
314,No,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,Yes,No
315,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
316,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
317,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Yes,No
318,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,Yes
320,Yes,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
321,Yes,Yes,No,No,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,No,No
322,No,Yes,Not sure,Don't know,Yes,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
323,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,Some of them,No,Don't know,No
324,Yes,Yes,No,Don't know,No,Don't know,Don't know,Maybe,No,No,Don't know,No
325,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
326,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Don't know,No
327,Yes,Don't know,Not sure,Don't know,Yes,Don't know,Don't know,No,Yes,Yes,Yes,No
328,No,No,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
330,No,Yes,Not sure,Yes,Yes,Yes,Very easy,No,Some of them,Some of them,Yes,No
332,No,Don't know,No,No,No,Yes,Somewhat easy,Maybe,No,No,No,No
335,No,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,Some of them,Some of them,Don't know,No
337,No,Yes,Not sure,Don't know,No,Don't know,Very easy,Maybe,Some of them,Some of them,Don't know,No
338,No,Yes,Yes,Don't know,Don't know,Yes,Don't know,Yes,No,No,Don't know,No
339,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Yes,No
340,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Yes,Yes,No,No
341,No,No,Yes,No,No,Don't know,Very difficult,Yes,Some of them,Some of them,No,No
342,No,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Yes,No,No,No,No
343,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
345,Yes,Yes,Yes,No,No,Yes,Don't know,No,Some of them,Yes,Don't know,No
346,Yes,Don't know,No,No,No,Don't know,Don't know,No,Yes,Yes,Don't know,No
347,Yes,Don't know,No,Yes,Yes,Don't know,Don't know,No,No,Yes,Don't know,No
348,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
349,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Yes,No
351,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,No,Yes,No
353,Yes,Yes,Not sure,Don't know,Yes,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
355,Yes,No,Yes,No,Don't know,Yes,Don't know,No,Some of them,No,No,No
356,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
357,Yes,Yes,Yes,Don't know,Yes,Yes,Don't know,Maybe,No,No,Don't know,No
358,Yes,No,No,No,No,Don't know,Somewhat easy,Yes,Some of them,Some of them,Don't know,No
359,No,No,Yes,No,No,Yes,Very easy,No,Yes,Yes,Yes,No
360,No,No,No,No,No,Don't know,Somewhat difficult,Maybe,Some of them,Some of them,Don't know,No
362,Yes,No,No,No,Don't know,No,Don't know,Maybe,Some of them,Yes,No,No
363,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,No,Some of them,Yes,Yes,No
364,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,No,No
365,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,Maybe,No,No,No,No
366,No,Yes,No,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Don't know,No
367,Yes,No,Yes,No,No,Yes,Very easy,No,Some of them,Some of them,Don't know,No
368,Yes,Yes,No,No,Don't know,Yes,Don't know,No,Yes,Yes,Don't know,No
370,No,Yes,No,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No
371,Yes,Yes,No,Yes,Yes,Don't know,Somewhat difficult,Maybe,Yes,Some of them,No,Yes
372,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,Yes,Yes,Yes,No
373,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Yes,Yes,No
374,Yes,Don't know,Not sure,Don't know,No,Don't know,Somewhat easy,Yes,Some of them,No,Don't know,No
375,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Don't know,No
376,Yes,Yes,Yes,No,No,Yes,Don't know,Yes,No,No,No,No
377,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,Some of them,Yes,Yes,No
378,Yes,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Some of them,Some of them,Yes,No
379,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,No,Don't know,No
381,Yes,Yes,No,Yes,Yes,Yes,Don't know,No,Some of them,Yes,Yes,No
382,Yes,Yes,No,No,No,Don't know,Don't know,No,Yes,Yes,Don't know,No
384,Yes,Don't know,No,No,No,Don't know,Don't know,Yes,Some of them,No,No,No
385,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Yes,Don't know,No
387,Yes,Yes,Yes,No,No,Don't know,Very difficult,Yes,Some of them,No,No,No
388,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Yes,Some of them,No,Don't know,No
391,Yes,Yes,No,Don't know,Don't know,Don't know,Somewhat easy,Maybe,No,No,Don't know,No
392,No,Don't know,No,No,Don't know,Don't know,Somewhat easy,Yes,Some of them,No,Don't know,No
394,No,No,No,No,No,No,Very difficult,Yes,No,No,No,Yes
395,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
398,No,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,Don't know,No
400,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,Maybe,Some of them,Yes,No,No
401,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,No,No
402,No,Don't know,No,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,No
403,Yes,Yes,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Some of them,No,Yes
405,No,Yes,Yes,No,Yes,Yes,Very easy,No,Some of them,Yes,No,No
406,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Yes,Some of them,Yes,No
407,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Yes,Some of them,No,Yes,No
410,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,Yes,No,No,No,No
411,Yes,Don't know,Not sure,No,Don't know,Don't know,Very difficult,Yes,No,No,No,No
412,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,Don't know,Yes
414,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat difficult,No,Some of them,Some of them,Yes,No
415,No,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,Some of them,Yes,Don't know,No
419,Yes,No,Yes,No,Don't know,Don't know,Don't know,Yes,No,No,No,Yes
424,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
425,No,Don't know,Not sure,No,Yes,Yes,Don't know,No,Some of them,Some of them,Yes,No
426,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Yes,Some of them,Some of them,No,Yes
427,No,Yes,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
428,No,Yes,No,No,No,Don't know,Don't know,No,Yes,No,Don't know,No
429,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Some of them,Yes,No
431,Yes,No,No,No,No,Don't know,Very easy,Yes,No,Some of them,Yes,No
432,Yes,No,No,No,No,Yes,Somewhat easy,Yes,Some of them,Some of them,Don't know,No
433,No,Don't know,No,No,No,Don't know,Don't know,Maybe,Yes,Yes,Don't know,No
434,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Maybe,Some of them,Some of them,Don't know,No
435,No,Don't know,No,No,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
436,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,Yes
438,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
439,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Yes,Yes,Yes,No
441,No,Yes,No,Yes,Don't know,Don't know,Somewhat easy,Maybe,No,No,Don't know,No
442,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,Some of them,Yes,Yes,Yes
443,No,Yes,No,Don't know,No,Don't know,Don't know,No,Some of them,Yes,Yes,No
